id,loc,x,y,date,n_detections
A69-1602-9723,SB-6,-119.0457167,33.468,2019-08-22,8
A69-1602-9723,SB-6,-119.0457167,33.468,2019-09-02,8
A69-1602-9723,SB-6,-119.0457167,33.468,2019-09-06,8
A69-1602-9723,SB-6,-119.0457167,33.468,2019-09-20,8
A69-1602-9723,SB-6,-119.0457167,33.468,2019-09-24,8
A69-1602-9723,SB-6,-119.0457167,33.468,2019-10-02,8
A69-1602-9723,SB-7,-119.0418333,33.464,2019-07-07,8
A69-1602-9723,SB-7,-119.0418333,33.464,2019-07-14,8
A69-1602-9723,SB-7,-119.0418333,33.464,2019-08-27,8
A69-1602-9723,SB-7,-119.0418333,33.464,2019-09-11,8
A69-1602-9723,SB-9,-119.0260167,33.471,2019-09-07,8
A69-1602-9723,WR-C,-119.0592,33.48881,2019-08-31,8
A69-1602-9712,Mound Inshore,-119.0193,33.4879,2019-06-04,7
A69-1602-9712,Mound Inshore,-119.0193,33.4879,2019-06-26,7
A69-1602-9712,Mound Offshore,-119.0168,33.4876,2019-06-15,7
A69-1602-9712,SB-1,-119.025,33.488,2018-09-07,7
A69-1602-9712,SB-1,-119.025,33.488,2019-06-07,7
A69-1602-9712,SB-10,-119.0228,33.484,2018-09-07,7
A69-1602-9712,SB-10,-119.0228,33.484,2019-10-01,7
A69-1602-9712,SB-6,-119.0457167,33.468,2019-06-12,7
A69-1602-9712,SB-6,-119.0457167,33.468,2019-06-26,7
A69-1602-9712,SB-6,-119.0457167,33.468,2019-06-30,7
A69-1602-9712,SB-6,-119.0457167,33.468,2019-07-12,7
A69-1602-9712,SB-6,-119.0457167,33.468,2019-07-18,7
A69-1602-9712,SB-6,-119.0457167,33.468,2019-07-31,7
A69-1602-9712,SB-7,-119.0418333,33.464,2019-03-05,7
A69-1602-9712,SB-7,-119.0418333,33.464,2019-04-07,7
A69-1602-9712,SB-7,-119.0418333,33.464,2019-04-27,7
A69-1602-9712,SB-7,-119.0418333,33.464,2019-04-29,7
A69-1602-9712,SB-7,-119.0418333,33.464,2019-05-28,7
A69-1602-9712,SB-9,-119.0260167,33.471,2019-07-08,7
A69-1602-9714,SB-7,-119.0418333,33.464,2018-08-28,7
A69-1602-9714,SB-7,-119.0418333,33.464,2018-08-31,7
A69-1602-9714,SB-7,-119.0418333,33.464,2018-09-08,7
A69-1602-9714,SB-7,-119.0418333,33.464,2018-09-09,7
A69-1602-9714,SB-7,-119.0418333,33.464,2018-09-10,7
A69-1602-9714,SB-7,-119.0418333,33.464,2018-11-12,7
A69-1602-9716,Mound Inshore,-119.0193,33.4879,2019-08-17,7
A69-1602-9716,SB-1,-119.025,33.488,2019-09-02,7
A69-1602-9716,SB-6,-119.0457167,33.468,2019-07-20,7
A69-1602-9716,SB-6,-119.0457167,33.468,2019-08-03,7
A69-1602-9716,SB-7,-119.0418333,33.464,2018-08-25,7
A69-1602-9716,SB-7,-119.0418333,33.464,2018-08-30,7
A69-1602-9716,SB-9,-119.0260167,33.471,2018-09-02,7
A69-1602-9716,SB-9,-119.0260167,33.471,2018-10-28,7
A69-1602-9716,SB-9,-119.0260167,33.471,2019-10-12,7
A69-1602-9716,SB-9.5,-119.02422,33.4777,2019-08-05,7
A69-1602-9716,SB-9.5,-119.02422,33.4777,2019-09-29,7
A69-1602-9716,SB-9.5,-119.02422,33.4777,2019-10-07,7
A69-1602-9716,SB-9.5,-119.02422,33.4777,2019-10-12,7
A69-1602-9718,SB-1,-119.025,33.488,2019-07-14,7
A69-1602-9718,SB-1,-119.025,33.488,2019-07-20,7
